fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
21673;19.6000000006054;7.25955200195312;Abies;alba;8.71;8;Conifère;1;1666.51428571429;829.636483463618;1.75102040816327;0.815193090680799
9692;48.9199999993387;9.9594612121582;Acacia;dealbata;8.59;8;Conifère;1;1475.14145543745;872.332204778214;2.23139820114473;0.863313469386173
14694;24.2800000002189;5.00303268432617;Acer;campestre;5.45;9;Feuillu;2;1657.97199341021;914.606241761632;1.4497528830313;0.526430682502604
14986;16.4400000008661;5.11165237426758;Acer;monspessulanum;5.24;9;Feuillu;2;1333.23357664234;733.249119655806;1.9367396593674;0.68766545214363
15691;10.6800000000093;5.11946058273315;Acer;pseudoplatanus;5.6;9;Feuillu;2;1815.59550561798;981.002510838752;1.61423220973783;0.609739668163856
15541;7.28000000068452;5.13314819335938;Acer;platanoides;5.94;9;Feuillu;2;1939.73076923077;1151.942453652;1.78021978021978;0.659706858013347
9237;13.4399999999814;5.15859985351562;Acer;negundo;6.1;9;Feuillu;2;1127.34821428571;509.387892062762;1.83630952380952;0.702878909441639
2055;28.5199999998743;5.18829345703125;Acer;monspessulanum;6.63;9;Feuillu;2;1573.08274894811;761.982254837325;1.58064516129032;0.690156092702407
14612;12.4;5.21056365966797;Acer;campestre;5.67;9;Feuillu;2;2042.90322580645;984.648322837659;1.46129032258065;0.523744224299412
15483;15.7200000000838;5.23783874511719;Acer;pseudoplatanus;5.25;9;Feuillu;2;1300.8727735369;781.636912966401;2.0941475826972;0.719620587479392
14695;17.5999999995111;5.27391052246094;Acer;campestre;5.4;9;Feuillu;2;1639.42727272727;726.081925744307;1.42727272727273;0.571427095629734
14678;15.0800000002189;5.27424621582031;Acer;campestre;6.17;9;Feuillu;2;1870.68169761273;2681.83173367667;1.39787798408488;0.520961930079563
21800;5.28000000005588;5.27585983276367;Acer;rubrum;6.09;9;Feuillu;2;1864.18939393939;991.533279538799;1.68181818181818;0.581510335224106
15877;27.4399999998184;5.30153036117554;Acer;platanoides;5.89;9;Feuillu;2;1696.07871720117;990.450654084685;2.03498542274052;0.669145434141488
21826;11.8000000005821;5.32292556762695;Acer;platanoides;5.8;10;Broussaille;3;1719.88813559322;889.169472147025;1.70169491525424;0.68827751730069
18775;16.4399999993527;5.32990646362305;Acer;monspessulanum;5.76;9;Feuillu;2;1315.71776155718;672.698609426923;1.98053527980535;0.668812147874593
2056;29.0799999995902;5.33241271972656;Acer;monspessulanum;6.6;9;Feuillu;2;2019.91196698762;1086.72393508874;1.54470426409904;0.659599636202223
